id	referencia	descripcion	descripcion_larga	FAMILIA	SUBFAMILIA	COLECCION	CATEGORIA	nombre_talla	nombre_Color	codigobarras	stock	stockminimo	tarifa_pvp	tarifa_coste	tarifa_multimarca	tarifa_pmp_grupo	tarifa_retail	tarifa_pmp_empresa
0160100748	01601007 	AMERICANA SARGA PIEDRA 48	AMERICANA SARGA COLOR: PIEDRA TALLA: 48	AMERICANA	SARGA	PV 2016	AMERICANA	48	PIEDRA	8435408455299	1	0	164,90 €	46,10 €	68,75 €	46,10 €	55,00 €	46,10 €
0160100750	01601007 	AMERICANA SARGA PIEDRA 50	AMERICANA SARGA COLOR: PIEDRA TALLA: 50	AMERICANA	SARGA	PV 2016	AMERICANA	50	PIEDRA	8435408455305	7	0	164,90 €	46,10 €	68,75 €	50,55 €	55,00 €	50,55 €
0160100752	01601007 	AMERICANA SARGA PIEDRA 52	AMERICANA SARGA COLOR: PIEDRA TALLA: 52	AMERICANA	SARGA	PV 2016	AMERICANA	52	PIEDRA	8435408455312	8	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160100754	01601007 	AMERICANA SARGA PIEDRA 54	AMERICANA SARGA COLOR: PIEDRA TALLA: 54	AMERICANA	SARGA	PV 2016	AMERICANA	54	PIEDRA	8435408455329	3	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160100756	01601007 	AMERICANA SARGA PIEDRA 56	AMERICANA SARGA COLOR: PIEDRA TALLA: 56	AMERICANA	SARGA	PV 2016	AMERICANA	56	PIEDRA	8435408455336	4	0	164,90 €	46,10 €	68,75 €	50,55 €	55,00 €	50,55 €
0160100758	01601007 	AMERICANA SARGA PIEDRA 58	AMERICANA SARGA COLOR: PIEDRA TALLA: 58	AMERICANA	SARGA	PV 2016	AMERICANA	58	PIEDRA	8435408455343	5	0	164,90 €	46,10 €	68,75 €	50,55 €	55,00 €	50,55 €
01601241L	02601241	CAMISA ML CUADROS TRICOLOR GRANATE L	CAMISA ML CUADROS TRICOLOR GRANATE L	CAMISA	TRICOLOR	OI 2015	CAMISA	L	GRANATE	8435408454230	1	0	59,90 €	16,45 €	24,96 €	19,96 €	19,96 €	19,96 €
01601241M	02601241	CAMISA ML CUADROS TRICOLOR GRANATE M	CAMISA ML CUADROS TRICOLOR GRANATE M	CAMISA	TRICOLOR	OI 2015	CAMISA	M	GRANATE	8435408454223	5	0	59,90 €	16,45 €	24,96 €	19,15 €	19,96 €	19,15 €
01601241S	02601241	CAMISA ML CUADROS TRICOLOR GRANATE S	CAMISA ML CUADROS TRICOLOR GRANATE S	CAMISA	TRICOLOR	OI 2015	CAMISA	S	GRANATE	8435408454216	6	0	59,90 €	16,45 €	24,96 €	19,19 €	19,96 €	19,19 €
01601241XL	02601241	CAMISA ML CUADROS TRICOLOR GRANATE XL	CAMISA ML CUADROS TRICOLOR GRANATE XL	CAMISA	TRICOLOR	OI 2015	CAMISA	XL	GRANATE	8435408454247	11	0	59,90 €	16,45 €	24,96 €	19,07 €	19,96 €	19,07 €
01601241XXL	02601241	CAMISA ML CUADROS TRICOLOR GRANATE XXL	CAMISA ML CUADROS TRICOLOR GRANATE XXL	CAMISA	TRICOLOR	OI 2015	CAMISA	XXL	GRANATE	8435408454254	3	0	59,90 €	16,45 €	24,96 €	18,90 €	19,96 €	18,90 €
01601360L	02601360	CAMISA ML CUADROS TRICOLOR AZUL L	CAMISA ML CUADROS TRICOLOR AZUL L	CAMISA	TRICOLOR	OI 2015	CAMISA	L	AZUL	8435408454131	3	0	59,90 €	16,45 €	24,96 €	18,69 €	19,96 €	18,69 €
01601360M	02601360	CAMISA ML CUADROS TRICOLOR AZUL M	CAMISA ML CUADROS TRICOLOR AZUL M	CAMISA	TRICOLOR	OI 2015	CAMISA	M	AZUL	8435408454124	3	0	59,90 €	16,45 €	24,96 €	18,66 €	19,96 €	18,66 €
01601360S	02601360	CAMISA ML CUADROS TRICOLOR AZUL S	CAMISA ML CUADROS TRICOLOR AZUL S	CAMISA	TRICOLOR	OI 2015	CAMISA	S	AZUL	8435408454117	10	0	59,90 €	16,45 €	24,96 €	18,63 €	19,96 €	18,63 €
01601360XL	02601360	CAMISA ML CUADROS TRICOLOR AZUL XL	CAMISA ML CUADROS TRICOLOR AZUL XL	CAMISA	TRICOLOR	OI 2015	CAMISA	XL	AZUL	8435408454148	13	0	59,90 €	16,45 €	24,96 €	18,83 €	19,96 €	18,83 €
01601360XXL	02601360	CAMISA ML CUADROS TRICOLOR AZUL XXL	CAMISA ML CUADROS TRICOLOR AZUL XXL	CAMISA	TRICOLOR	OI 2015	CAMISA	XXL	AZUL	8435408454155	9	0	59,90 €	16,45 €	24,96 €	18,86 €	19,96 €	18,86 €
0160136348	01601363	AMERICANA SARGA MARINO 48	AMERICANA SARGA MARINO 48	AMERICANA	SARGA	PV 2016	AMERICANA	48	MARINO	8435408455176	0	0	164,90 €	46,10 €	68,75 €	52,43 €	55,00 €	52,43 €
0160136350	01601363	AMERICANA SARGA MARINO 50	AMERICANA SARGA MARINO 50	AMERICANA	SARGA	PV 2016	AMERICANA	50	MARINO	8435408455183	33	0	164,90 €	46,10 €	68,75 €	53,44 €	55,00 €	53,44 €
0160136352	01601363	AMERICANA SARGA MARINO 52	AMERICANA SARGA MARINO 52	AMERICANA	SARGA	PV 2016	AMERICANA	52	MARINO	8435408455190	54	0	164,90 €	46,10 €	68,75 €	53,91 €	55,00 €	53,91 €
0160136354	01601363	AMERICANA SARGA MARINO 54	AMERICANA SARGA MARINO 54	AMERICANA	SARGA	PV 2016	AMERICANA	54	MARINO	8435408455206	27	0	164,90 €	46,10 €	68,75 €	53,77 €	55,00 €	53,77 €
0160136356	01601363	AMERICANA SARGA MARINO 56	AMERICANA SARGA MARINO 56	AMERICANA	SARGA	PV 2016	AMERICANA	56	MARINO	8435408455213	14	0	164,90 €	46,10 €	68,75 €	53,73 €	55,00 €	53,73 €
0160136358	01601363	AMERICANA SARGA MARINO 58	AMERICANA SARGA MARINO 58	AMERICANA	SARGA	PV 2016	AMERICANA	58	MARINO	8435408455220	19	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160136448	01601364	AMERICANA SARGA ROYAL 48	AMERICANA SARGA ROYAL 48	AMERICANA	SARGA	PV 2016	AMERICANA	48	ROYAL	8435408455237	0	0	164,90 €	46,10 €	68,75 €	52,44 €	55,00 €	52,44 €
0160136450	01601364	AMERICANA SARGA ROYAL 50	AMERICANA SARGA ROYAL 50	AMERICANA	SARGA	PV 2016	AMERICANA	50	ROYAL	8435408455244	6	0	164,90 €	46,10 €	68,75 €	52,22 €	55,00 €	52,22 €
0160136452	01601364	AMERICANA SARGA ROYAL 52	AMERICANA SARGA ROYAL 52	AMERICANA	SARGA	PV 2016	AMERICANA	52	ROYAL	8435408455251	7	0	164,90 €	46,10 €	68,75 €	54,56 €	55,00 €	54,56 €
0160136454	01601364	AMERICANA SARGA ROYAL 54	AMERICANA SARGA ROYAL 54	AMERICANA	SARGA	PV 2016	AMERICANA	54	ROYAL	8435408455268	3	0	164,90 €	46,10 €	68,75 €	54,78 €	55,00 €	54,78 €
0160136456	01601364	AMERICANA SARGA ROYAL 56	AMERICANA SARGA ROYAL 56	AMERICANA	SARGA	PV 2016	AMERICANA	56	ROYAL	8435408455275	4	0	164,90 €	46,10 €	68,75 €	55,00 €	55,00 €	55,00 €
0160136458	01601364	AMERICANA SARGA ROYAL 58	AMERICANA SARGA ROYAL 58	AMERICANA	SARGA	PV 2016	AMERICANA	58	ROYAL	8435408455282	5	0	164,90 €	46,10 €	68,75 €	54,78 €	55,00 €	54,78 €
01601420L	02601420	CAMISA ML CUADROS TRICOLOR VERDE L	CAMISA ML CUADROS TRICOLOR VERDE L	CAMISA	TRICOLOR	OI 2015	CAMISA	L	VERDE	8435408454186	2	0	59,90 €	16,45 €	24,96 €	18,64 €	19,96 €	18,64 €
01601420M	02601420	CAMISA ML CUADROS TRICOLOR VERDE M	CAMISA ML CUADROS TRICOLOR VERDE M	CAMISA	TRICOLOR	OI 2015	CAMISA	M	VERDE	8435408454179	10	0	59,90 €	16,45 €	24,96 €	18,87 €	19,96 €	18,87 €
01601420S	02601420	CAMISA ML CUADROS TRICOLOR VERDE S	CAMISA ML CUADROS TRICOLOR VERDE S	CAMISA	TRICOLOR	OI 2015	CAMISA	S	VERDE	8435408454162	22	0	59,90 €	16,45 €	24,96 €	18,76 €	19,96 €	18,76 €
01601420XL	02601420	CAMISA ML CUADROS TRICOLOR VERDE XL	CAMISA ML CUADROS TRICOLOR VERDE XL	CAMISA	TRICOLOR	OI 2015	CAMISA	XL	VERDE	8435408454193	2	0	59,90 €	16,45 €	24,96 €	18,62 €	19,96 €	18,62 €
01601420XXL	02601420	CAMISA ML CUADROS TRICOLOR VERDE XXL	CAMISA ML CUADROS TRICOLOR VERDE XXL	CAMISA	TRICOLOR	OI 2015	CAMISA	XXL	VERDE	8435408454209	4	0	59,90 €	16,45 €	24,96 €	18,83 €	19,96 €	18,83 €
01602241L	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE L	CAMISA ML VILLELA CUADROS SATURADOS GRANATE L	CAMISA	VILLELA	OI 2015	CAMISA	L	GRANATE	8435408453585	1	0	59,90 €	13,95 €	24,96 €	18,22 €	19,96 €	18,22 €
01602241M	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE M	CAMISA ML VILLELA CUADROS SATURADOS GRANATE M	CAMISA	VILLELA	OI 2015	CAMISA	M	GRANATE	8435408453578	20	0	59,90 €	13,95 €	24,96 €	18,33 €	19,96 €	18,33 €
01602241S	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE S	CAMISA ML VILLELA CUADROS SATURADOS GRANATE S	CAMISA	VILLELA	OI 2015	CAMISA	S	GRANATE	8435408453561	22	0	59,90 €	13,95 €	24,96 €	19,01 €	19,96 €	19,01 €
01602241XL	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XL	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XL	CAMISA	VILLELA	OI 2015	CAMISA	XL	GRANATE	8435408453592	3	0	59,90 €	13,95 €	24,96 €	18,63 €	19,96 €	18,63 €
01602241XXL	02602241	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XXL	CAMISA ML VILLELA CUADROS SATURADOS GRANATE XXL	CAMISA	VILLELA	OI 2015	CAMISA	XXL	GRANATE	8435408453608	12	0	59,90 €	13,95 €	24,96 €	17,78 €	19,96 €	17,78 €
01603061L	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO L	CAMISA ML CUADROS PESPUNTE AMARILLO L	CAMISA	PESPUNTE	OI 2015	CAMISA	L	AMARILLO	8435408453981	0	0	59,90 €	16,95 €	24,96 €	18,69 €	19,96 €	18,69 €
01603061M	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO M	CAMISA ML CUADROS PESPUNTE AMARILLO M	CAMISA	PESPUNTE	OI 2015	CAMISA	M	AMARILLO	8435408453974	7	0	59,90 €	16,95 €	24,96 €	18,80 €	19,96 €	18,80 €
01603061S	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO S	CAMISA ML CUADROS PESPUNTE AMARILLO S	CAMISA	PESPUNTE	OI 2015	CAMISA	S	AMARILLO	8435408453967	22	0	59,90 €	16,95 €	24,96 €	18,89 €	19,96 €	18,89 €
01603061XL	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO XL	CAMISA ML CUADROS PESPUNTE AMARILLO XL	CAMISA	PESPUNTE	OI 2015	CAMISA	XL	AMARILLO	8435408453998	2	0	59,90 €	16,95 €	24,96 €	18,71 €	19,96 €	18,71 €
01603061XXL	02603061	CAMISA ML CUADROS PESPUNTE AMARILLO XXL	CAMISA ML CUADROS PESPUNTE AMARILLO XXL	CAMISA	PESPUNTE	OI 2015	CAMISA	XXL	AMARILLO	8435408454001	2	0	59,90 €	16,95 €	24,96 €	18,95 €	19,96 €	18,95 €
01603242L	02603242	CAMISA ML CUADROS PESPUNTE ROSA L	CAMISA ML CUADROS PESPUNTE ROSA L	CAMISA	PESPUNTE	OI 2015	CAMISA	L	ROSA	8435408454032	1	0	59,90 €	16,95 €	24,96 €	18,91 €	19,96 €	18,91 €
